Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,180,Dem. Rep. of the Congo,COD,01,Animals; live,1,No Quantity,0,0,24909,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,178,Congo,COG,01,Animals; live,1,No Quantity,0,0,3809,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,156,China,CHN,01,Animals; live,1,No Quantity,0,0,264204,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,156,China,CHN,01,Animals; live,1,No Quantity,0,0,7192,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,76,Brazil,BRA,01,Animals; live,1,No Quantity,0,0,525,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,76,Brazil,BRA,01,Animals; live,1,No Quantity,0,0,3181,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,56,Belgium,BEL,01,Animals; live,1,No Quantity,0,0,90029,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,40,Austria,AUT,01,Animals; live,1,No Quantity,0,0,1415,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,32,Argentina,ARG,01,Animals; live,1,No Quantity,0,0,385,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,01,Animals; live,1,No Quantity,0,,325107,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,01,Animals; live,1,No Quantity,0,,8033729,4
H5,2018,2018,2018,2,0,2,Export,20,Andorra,AND,724,Spain,ESP,01,Animals; live,1,No Quantity,0,0,34167,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,724,Spain,ESP,01,Animals; live,1,No Quantity,0,0,98583,4
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,251,France,FRA,01,Animals; live,1,No Quantity,0,0,15342,0
H5,2018,2018,2018,2,0,2,Export,20,Andorra,AND,0,World,WLD,01,Animals; live,1,No Quantity,0,0,34167,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,01,Animals; live,1,No Quantity,0,0,113925,4
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,01,Animals; live,1,No Quantity,0,0,2257511,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,792,Turkey,TUR,01,Animals; live,1,No Quantity,0,0,1591485,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,703,Slovakia,SVK,01,Animals; live,1,No Quantity,0,0,367529,0
H5,2018,2018,2018,2,0,2,Export,8,Albania,ALB,688,Serbia,SRB,01,Animals; live,1,No Quantity,0,0,29835,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,686,Senegal,SEN,01,Animals; live,1,No Quantity,0,0,1972,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,01,Animals; live,1,No Quantity,0,0,7732,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,642,Romania,ROU,01,Animals; live,1,No Quantity,0,0,4003542,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,01,Animals; live,1,No Quantity,0,0,386966,0
H5,2018,2018,2018,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,01,Animals; live,1,No Quantity,0,0,650375,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,01,Animals; live,1,No Quantity,0,0,1453557,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,01,Animals; live,1,No Quantity,0,0,874686,0
H5,2018,2018,2018,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,01,Animals; live,1,No Quantity,0,0,116,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,01,Animals; live,1,No Quantity,0,0,15285703,0
H5,2018,2018,2018,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,01,Animals; live,1,No Quantity,0,0,1,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,01,Animals; live,1,No Quantity,0,0,96929,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,251,France,FRA,01,Animals; live,1,No Quantity,0,0,209550,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,01,Animals; live,1,No Quantity,0,0,32201,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,01,Animals; live,1,No Quantity,0,0,128297,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,01,Animals; live,1,No Quantity,0,0,6214392,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,01,Animals; live,1,No Quantity,0,0,79637,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,01,Animals; live,1,No Quantity,0,0,701952,0
H5,2018,2018,2018,2,0,2,Export,8,Albania,ALB,0,World,WLD,01,Animals; live,1,No Quantity,0,0,680328,0
H5,2018,2018,2018,2,0,1,Import,8,Albania,ALB,0,World,WLD,01,Animals; live,1,No Quantity,0,0,33693646,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,764,Thailand,THA,01,Animals; live,1,No Quantity,0,0,355720,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,768,Togo,TGO,01,Animals; live,1,No Quantity,0,0,4496,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,784,United Arab Emirates,ARE,01,Animals; live,1,No Quantity,0,0,1404660,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,826,United Kingdom,GBR,01,Animals; live,1,No Quantity,0,0,314639,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,826,United Kingdom,GBR,01,Animals; live,1,No Quantity,0,0,5423946,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,842,USA,USA,01,Animals; live,1,No Quantity,0,0,530192,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,842,USA,USA,01,Animals; live,1,No Quantity,0,0,14925800,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,858,Uruguay,URY,01,Animals; live,1,No Quantity,0,0,92832,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,858,Uruguay,URY,01,Animals; live,1,No Quantity,0,0,2032229,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,862,Venezuela,VEN,01,Animals; live,1,No Quantity,0,0,21000,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,899,"Areas, nes",,01,Animals; live,1,No Quantity,0,0,65800,0
H5,2018,2018,2018,2,0,1,Import,36,Australia,AUS,0,World,WLD,01,Animals; live,1,No Quantity,0,,137944793,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,0,World,WLD,01,Animals; live,1,No Quantity,0,,1360817674,4
H5,2018,2018,2018,2,0,4,Re-Import,36,Australia,AUS,0,World,WLD,01,Animals; live,1,No Quantity,0,,11701389,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,32,Argentina,ARG,01,Animals; live,1,No Quantity,0,0,46275,4
H5,2018,2018,2018,2,0,1,Import,36,Australia,AUS,36,Australia,AUS,01,Animals; live,1,No Quantity,0,,11701389,4
H5,2018,2018,2018,2,0,4,Re-Import,36,Australia,AUS,36,Australia,AUS,01,Animals; live,1,No Quantity,0,,11701389,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,01,Animals; live,1,No Quantity,0,0,2015,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,01,Animals; live,1,No Quantity,0,0,547092,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,60,Bermuda,BMU,01,Animals; live,1,No Quantity,0,0,1492,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,64,Bhutan,BTN,01,Animals; live,1,No Quantity,0,0,43068,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,76,Brazil,BRA,01,Animals; live,1,No Quantity,0,0,3433,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,01,Animals; live,1,No Quantity,0,0,5377726,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,104,Myanmar,MMR,01,Animals; live,1,No Quantity,0,0,978048,4
